run_uid,policy_id,cohort,step_uid,step_idx,prior_used_data_stage_uid,used_data_stage_uid,prior_table_code,table_code,prior_status,status,prior_sum_assured,sum_assured,prior_entry_date,entry_date,prior_npdd,npdd,prior_ltd_payment_term,ltd_payment_term,prior_entry_age_1,entry_age_1,prior_gender_1,gender_1,prior_entry_age_2,entry_age_2,prior_gender_2,gender_2,prior_joint_val_age,joint_val_age,prior_premium_frequency,premium_frequency,prior_modal_premium,modal_premium,prior_unsmoothed_asset_share,unsmoothed_asset_share,prior_smoothed_asset_share,smoothed_asset_share,prior_surrender_benefit,surrender_benefit,prior_death_benefit,death_benefit,prior_exit_bonus_rate,exit_bonus_rate,prior_unpaid_premiums,unpaid_premiums,prior_death_uplift_factor,death_uplift_factor,prior_guaranteed_death_benefit,guaranteed_death_benefit,title,type
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,a1639a6e-9660-4f8f-8029-ce01d2767ce7,11,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4985.0713,4952.6685,5060.747,5027.852,5111.3545,5078.1304,5696.1577,5659.1323,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,4eafa688-4ae0-4ded-aa92-2710f876a981,12,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4952.6685,4917.655,5027.852,4992.307,5078.1304,5042.23,5659.1323,5619.1245,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Mortality Charges,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,2df7f353-9b69-40c3-9f97-7b1fef2b8b2b,13,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4917.655,4936.0615,4992.307,5011.091,5042.23,5061.2017,5619.1245,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Investment Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,8d823d72-6027-49c0-8962-c1f725d199a5,14,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2786.4607,Closing Guaranteed Death Benefit,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,4698425d-e165-4881-a5dd-b90e342e1795,15,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Closing Death Uplift Factor,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,aff89bf5-604e-4989-8b11-c3ba24d1fca1,16,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Closing Exit Bonus Rate,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,7e38d53b-960c-44e1-8adc-13bf645196ec,17,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,AoC Closing Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,b5c1db87-1bdd-4574-ad7a-86e4122c4799,18,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Status Changes To Paid-Up,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,ba0238f1-df2b-43c7-95b2-557d846a81f8,19,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Move To Closing Data,MOVE_TO_CLOSING_DATA
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,cf93808c-bacc-4137-b849-6227df8c177f,20,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4936.0615,5011.091,5011.091,5061.2017,5061.2017,5640.2666,5640.2666,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Add New Records,ADD_NEW_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,3f8c9b7e-2a4d-4f3a-9e2e-7d1c8a9f6b2c,21,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4936.0615,4947.239,5011.091,5011.7993,5061.2017,5061.9175,5640.2666,5641.064,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Move To Closing Month-End,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,9a1d4c3f-6b7e-4d2a-8f9c-3e2b1a7d5c4e,22,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4947.239,4928.7905,5011.7993,5029.3276,5061.9175,5079.621,5641.064,5660.7935,0.01,0.01,0,0,1.1144125,1.1144125,2786.4607,2786.4607,Switch To Valuation Asset Shares,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,6920fbd3-e1d1-4459-aca9-aa7c63267a14,1,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,19.657616,19.657616,20.043636,20.043636,20.244072,20.244072,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Remove Exited Records,REMOVE_EXITED_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,6d3385fc-8e01-4e95-9dc2-65471813ea5e,2,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,19.657616,19.657616,20.043636,20.043636,20.244072,20.244072,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Restated Opening Data,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,1254ec7b-e4ee-4a3b-b295-def984bc7e80,3,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,19.657616,19.657616,20.043636,20.043636,20.244072,20.244072,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,AoC Opening Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,7f0492ca-6211-4032-bf89-a15879d07856,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,19.657616,19.657616,20.043636,20.043636,20.244072,20.244072,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Restated Opening Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,d3d411ec-f5d7-419a-a9ff-67e3d95a9e15,5,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,19.657616,19.662746,20.043636,20.043962,20.244072,20.244402,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Restated Opening Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,61530067-7402-435c-8c3e-933d80d19220,6,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,19.662746,18.191816,20.043962,18.544516,20.244402,18.729961,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Restated Opening Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,12ff0e3a-eab8-4d55-94d5-92a561abd141,7,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,18.191816,18.282549,18.544516,18.634153,18.729961,18.820496,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Move To Closing Run Date,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,92ae5c91-e2f7-4112-8063-b143c467e4b3,8,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,18.282549,18.282549,18.634153,18.634153,18.820496,18.820496,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Data Roll-Forward,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,1b901498-b74d-408c-a3b4-f8654f63cf41,9,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,18.282549,18.282549,18.634153,18.634153,18.820496,18.820496,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,320d8985-c752-43e1-89ba-72411a2053ad,10,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,18.282549,18.282549,18.634153,18.634153,18.820496,18.820496,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Premiums,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,a1639a6e-9660-4f8f-8029-ce01d2767ce7,11,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,18.282549,18.163713,18.634153,18.513031,18.820496,18.698162,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,4eafa688-4ae0-4ded-aa92-2710f876a981,12,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,18.163713,17.21312,18.513031,17.544155,18.698162,17.719597,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Mortality Charges,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,2df7f353-9b69-40c3-9f97-7b1fef2b8b2b,13,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.21312,17.298971,17.544155,17.627075,17.719597,17.803347,690.2522,690.2522,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,690.2522,Investment Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,8d823d72-6027-49c0-8962-c1f725d199a5,14,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803347,17.803347,690.2522,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,690.2522,691.2411,Closing Guaranteed Death Benefit,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,4698425d-e165-4881-a5dd-b90e342e1795,15,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803347,17.803347,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,Closing Death Uplift Factor,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,aff89bf5-604e-4989-8b11-c3ba24d1fca1,16,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803347,17.803347,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,Closing Exit Bonus Rate,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,7e38d53b-960c-44e1-8adc-13bf645196ec,17,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803347,17.803345,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,AoC Closing Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,b5c1db87-1bdd-4574-ad7a-86e4122c4799,18,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803345,17.803345,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,Status Changes To Paid-Up,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,ba0238f1-df2b-43c7-95b2-557d846a81f8,19,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803345,17.803345,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,Move To Closing Data,MOVE_TO_CLOSING_DATA
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,cf93808c-bacc-4137-b849-6227df8c177f,20,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.298971,17.627075,17.627075,17.803345,17.803345,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,Add New Records,ADD_NEW_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P00635156,REMAINING,3f8c9b7e-2a4d-4f3a-9e2e-7d1c8a9f6b2c,21,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T70,T70,AP,AP,98.89,98.89,1985-07-31,1985-07-31,2007-07-31,2007-07-31,22,22,53,53,FEMALE,FEMALE,NA,NA,NA,NA,NA,NA,YEARLY,YEARLY,8.99,8.99,17.298971,17.33711,17.627075,17.629501,17.803345,17.805796,691.2411,691.2411,0.01,0.01,0,0,1.0779415,1.0779415,691.2411,691.2411,Move To Closing Month-End,SOURCE_CHANGE
